,zipcode,city,state,country
836,02659,South Chatham,MA,US
837,02660,South Dennis,MA,US
838,02661,South Harwich,MA,US
839,02662,South Orleans,MA,US
840,02663,South Wellfleet,MA,US
841,02664,South Yarmouth,MA,US
842,02666,Truro,MA,US
843,02667,Wellfleet,MA,US
844,02668,West Barnstable,MA,US
845,02669,West Chatham,MA,US
846,02670,West Dennis,MA,US
847,02671,West Harwich,MA,US
848,02672,West Hyannisport,MA,US
849,02673,West Yarmouth,MA,US
850,02675,Yarmouth Port,MA,US
851,02702,Assonet,MA,US
852,02703,Attleboro,MA,US
853,02712,Chartley,MA,US
854,02713,Cuttyhunk,MA,US
855,02714,Dartmouth,MA,US
856,02715,Dighton,MA,US
857,02717,East Freetown,MA,US
858,02718,East Taunton,MA,US
859,02719,Fairhaven,MA,US
860,02720,Fall River,MA,US
861,02721,Fall River,MA,US
862,02722,Fall River,MA,US
863,02723,Fall River,MA,US
864,02724,Fall River,MA,US
865,02725,Somerset,MA,US
866,02726,Somerset,MA,US
867,02738,Marion,MA,US
868,02739,Mattapoisett,MA,US
869,02740,New Bedford,MA,US
870,02741,New Bedford,MA,US
871,02742,New Bedford,MA,US
872,02743,Acushnet,MA,US
873,02744,New Bedford,MA,US
874,02745,New Bedford,MA,US
875,02746,New Bedford,MA,US
876,02747,North Dartmouth,MA,US
877,02748,South Dartmouth,MA,US
878,02760,North Attleboro,MA,US
879,02761,North Attleboro,MA,US
880,02762,Plainville,MA,US
881,02763,Attleboro Falls,MA,US
882,02764,North Dighton,MA,US
883,02766,Norton,MA,US
884,02767,Raynham,MA,US
885,02768,Raynham Center,MA,US
886,02769,Rehoboth,MA,US
887,02770,Rochester,MA,US
888,02771,Seekonk,MA,US
889,02777,Swansea,MA,US
890,02779,Berkley,MA,US
891,02780,Taunton,MA,US
