zipcode,city,state,country
01844,Methuen,MA,US
01845,North Andover,MA,US
01850,Lowell,MA,US
01851,Lowell,MA,US
01852,Lowell,MA,US
01853,Lowell,MA,US
01854,Lowell,MA,US
01860,Merrimac,MA,US
01862,North Billerica,MA,US
01863,North Chelmsford,MA,US
01864,North Reading,MA,US
01865,Nutting Lake,MA,US
01866,Pinehurst,MA,US
01867,Reading,MA,US
01876,Tewksbury,MA,US
01879,Tyngsboro,MA,US
01880,Wakefield,MA,US
01885,West Boxford,MA,US
01886,Westford,MA,US
01887,Wilmington,MA,US
01888,Woburn,MA,US
01889,North Reading,MA,US
01890,Winchester,MA,US
01899,Andover,MA,US
01901,Lynn,MA,US
01902,Lynn,MA,US
01903,Lynn,MA,US
01904,Lynn,MA,US
01905,Lynn,MA,US
01906,Saugus,MA,US
01907,Swampscott,MA,US
01908,Nahant,MA,US
01910,Lynn,MA,US
01913,Amesbury,MA,US
01915,Beverly,MA,US
01921,Boxford,MA,US
01922,Byfield,MA,US
01923,Danvers,MA,US
01929,Essex,MA,US
01930,Gloucester,MA,US
01931,Gloucester,MA,US
01936,Hamilton,MA,US
01937,Hathorne,MA,US
01938,Ipswich,MA,US
01940,Lynnfield,MA,US
01944,Manchester,MA,US
01945,Marblehead,MA,US
01949,Middleton,MA,US
01950,Newburyport,MA,US
01951,Newbury,MA,US
01952,Salisbury,MA,US
01960,Peabody,MA,US
01961,Peabody,MA,US
01965,Prides Crossing,MA,US
01966,Rockport,MA,US
01969,Rowley,MA,US
01970,Salem,MA,US
01971,Salem,MA,US
01982,South Hamilton,MA,US
01983,Topsfield,MA,US
01984,Wenham,MA,US
01985,West Newbury,MA,US
02018,Accord,MA,US
02019,Bellingham,MA,US
02020,Brant Rock,MA,US
02021,Canton,MA,US
02025,Cohasset,MA,US
02026,Dedham,MA,US
02027,Dedham,MA,US
02030,Dover,MA,US
02031,East Mansfield,MA,US
02032,East Walpole,MA,US
02035,Foxboro,MA,US
02038,Franklin,MA,US
02040,Greenbush,MA,US
02041,Green Harbor,MA,US
02043,Hingham,MA,US
02044,Hingham,MA,US
02045,Hull,MA,US
02047,Humarock,MA,US
02048,Mansfield,MA,US
02050,Marshfield,MA,US
02051,Marshfield Hills,MA,US
02052,Medfield,MA,US
02053,Medway,MA,US
02054,Millis,MA,US
02055,Minot,MA,US
02056,Norfolk,MA,US
02059,North Marshfield,MA,US
02060,North Scituate,MA,US
02061,Norwell,MA,US
02062,Norwood,MA,US
02065,Ocean Bluff,MA,US
02066,Scituate,MA,US
02067,Sharon,MA,US
02070,Sheldonville,MA,US
02071,South Walpole,MA,US
02072,Stoughton,MA,US
02081,Walpole,MA,US
02090,Westwood,MA,US
02093,Wrentham,MA,US
02108,Boston,MA,US
02109,Boston,MA,US
02110,Boston,MA,US
02111,Boston,MA,US
02112,Boston,MA,US
02113,Boston,MA,US
02114,Boston,MA,US
02115,Boston,MA,US
02116,Boston,MA,US
02117,Boston,MA,US
02118,Boston,MA,US
02119,Roxbury,MA,US
02120,Roxbury Crossing,MA,US
02121,Dorchester,MA,US
02122,Dorchester,MA,US
02123,Boston,MA,US
02124,Dorchester Center,MA,US
02125,Dorchester,MA,US
02126,Mattapan,MA,US
02127,South Boston,MA,US
02128,East Boston,MA,US
